,Title,Quality,Type,Price,Shipping,Returns
243,Knock Knock [New DVD],Brand New,DVD,$8.72,Free,Free
244,"Predator: 3-Movie Collection [New Blu-ray] Dolby, Digital Theater Syst",Brand New,Blu-ray Disc,$19.07,Free,Free
245,"Candyman (Collector's Edition) [New Blu-ray] Collector's Ed, Widescree",Brand New,Blu-ray Disc,$14.39,Free,Free
246,Seed of Chucky DVD Hannah Spearritt NEW,Brand New,DVD,$8.46,Free,Unknown
247,Phantom of the Paradise: Collector's Edition [New Blu-ray] Collector's,Brand New,Blu-ray Disc,$19.96,Free,Free
248,Sharknado [New DVD],Brand New,DVD,$5.00,Free,Free
249,Gorotica [New DVD],Brand New,DVD,$12.81,Free,Free
250,Stigmata - VERY GOOD,Pre-Owned,DVD,$4.81,Free,Free
251,Disturbia (Widescreen Edition) - DVD - VERY GOOD,Pre-Owned,DVD,$3.84,Free,Free
252,Ghost Ship [Scream Factory] Collector's Edition Blu-Ray + SLIPCOVER *NEW SEALED*,Brand New,Unknown,$19.99,Unknown,Unknown
253,LEGACIES: Season 1 3-Disc DVD Box Set Brand New & Sealed US Seller Free Shipment,Brand New,DVD,$12.50,Free,Unknown
254,Sleepy Hollow - VERY GOOD,Pre-Owned,DVD,$3.68,Free,Free
255,AN AMERICAN WEREWOLF IN LONDON New Sealed DVD Widescreen Horror Comedy Werewolf,Brand New,DVD,$9.95,Free,Free
256,Let Me in DVD Matt Reeves(DIR),Pre-Owned,DVD,$4.69,Free,Free
257,Bloodsucking Freaks DVD The Directors Cut 70s Horror Movie TROMA NEW,Brand New,DVD,$11.35,Free,Unknown
258,"Ginger Snaps: Collector's Edition [New Blu-ray] With DVD, Collector's",Brand New,Blu-ray/Dvd,$17.03,Free,Free
259,Mr. Mercedes Season Three 3 Based On Stephen King Trilogy DVD New Factory Sealed,Brand New,DVD,$19.99,Free,Unknown
260,Gingerdead Man 2 [New DVD],Brand New,DVD,$11.40,Free,Free
261,"Midsommar (Blu-ray Disc ONLY, 2019) in BR case with artwork",Pre-Owned,Blu-ray Disc,$8.00,Free,Unknown
262,The Walking Dead: The Complete Second Season BLU-RAY,Pre-Owned,Blu-ray Disc,$4.99,Free,Free
263,"Frankenhooker [New Blu-ray] Rmst, Special Ed, Uncut, Widescreen, Ac-3/",Brand New,Blu-ray Disc,$20.57,Free,Free
264,The Crow (1994) Alex Proyas / Brandon Lee / DVD NEW / FAST SHIP,Brand New,DVD,$4.65,Unknown,Unknown
265,Tremors The Complete Collection DVD Kevin Bacon NEW,Brand New,DVD,$16.68,Free,Unknown
266,CANDYMAN 3 - DAY OF THE DEAD NEW DVD,Brand New,DVD,$11.97,Free,Unknown
267,DVD Sale Pick Choose Your Movies Lot Action Comedy A+ Titles! Box A,Pre-Owned,Unknown,$1.74,Unknown,Unknown
268,Disturbia [Widescreen Edition],Pre-Owned,DVD,$3.89,Free,Free
269,HORROR DVD Movie Lot Great! $2.50 (Pick from any list - FREE SHIPPING after 1st),Pre-Owned,Unknown,$2.50,Unknown,Free
270,Sin Nombre DVD Paulina Gaitan NEW,Brand New,DVD,$9.35,Free,Unknown
271,The Fourth Kind Blu-ray Milla Jovovich NEW,Brand New,Blu-ray Disc,$9.35,Free,Unknown
272,Goosebumps DVD 2015,Pre-Owned,DVD,$4.67,Free,Free
273,Tremors: A Cold Day in Hell [DVD] NEW!,Brand New,DVD,$9.49,Free,Unknown
274,BURIED ALIVE New Sealed DVD 1990 TV Movie Tim Matheson Jennifer Jason Leigh,Brand New,DVD,$13.34,Free,Free
275,Boris Karloff and Bela Lugosi Horror Classics Collection DVD Boris Karloff NEW,Brand New,DVD,$9.35,Free,Unknown
276,The Mummy (2017) DVD Tom Cruise NEW,Brand New,DVD,$5.00,Free,Unknown
277,Child's Play 2 DVD Alex Vincent NEW,Brand New,DVD,$9.35,Free,Unknown
278,Ma Blu-ray Missi Pyle NEW,Brand New,Unknown,$7.59,Free,Unknown
279,Friday the 13th Part 3 [Blu-ray] NEW!,Brand New,Blu-ray Disc,$8.49,Free,Unknown
280,Get Out DVD Jordan Peele(DIR) 2017,Pre-Owned,Unknown,$4.94,Free,Free
281,Devil Doll [New DVD],Brand New,DVD,$9.91,Free,Free
282,Psycho [New Blu-ray] Widescreen,Brand New,Blu-ray Disc,$12.96,Free,Free
283,"MIDNITE MOVIES YONGARY/KONGA (DVD, 2007, 2-Disc Set) NEW",Brand New,DVD,$10.99,Free,Unknown
284,Brand New Dvd Lot Brand New DVDs Your Choice Kids Horror Western Action,Brand New,Unknown,$2.00,Unknown,Unknown
285,The Houses October Built / The Houses October Built 2 [New DVD],Brand New,DVD,$11.44,Free,Free
286,The Dungeonmaster / Cellar Dweller / Catacombs / The Crawlers [New DVD,Brand New,DVD,$11.43,Free,Free
287,The Haunting DVD Jan de Bont(DIR) 1999,Pre-Owned,DVD,$5.12,Free,Free
288,Alligator (1980) Robert Forster / Robin Riker / Michael Gazzo DVD NEW *FAST SHIP,Brand New,DVD,$4.65,Unknown,Unknown
289,Creepshow DVD George A. Romero(DIR) 1982,Pre-Owned,DVD,$5.82,Free,Free
290,American Mary,Brand New,DVD,$10.00,Free,Free
291,The Missing DVD 2-Disc Set COMPLETE WITH CASE & COVER ARTWORK BUY 2 GET 1 FREE,Pre-Owned,DVD,$4.99,Free,Unknown
292,TRICK OR TREAT aka RAGMAN (1986) Ozzy Osbourne Blu-Ray Import NEW Free Ship,Brand New,Blu-ray Disc,$25.99,Free,Free
293,"Signs (DVD, 2003) NEW",Brand New,DVD,$5.12,Free,Free
294,Hollow Man DVD Paul Verhoeven(DIR) 2000,Pre-Owned,DVD,$4.78,Free,Free
295,"Drive Thru [New DVD] Ac-3/Dolby Digital, Dolby, Subtitled, Widescreen,",Brand New,DVD,$12.27,Free,Free
296,Killer Elite DVD Jason Statham NEW,Brand New,DVD,$3.99,Free,Unknown
297,Stephen King Collection [New DVD] Gift Set,Brand New,DVD,$13.14,Free,Free
298,The Uninvited DVD Charles Guard(DIR) 2009,Pre-Owned,DVD,$4.80,Free,Free
299,Maximum Overdrive (Vestron Video Collector's Series) [New Blu-ray] Ac-,Brand New,Blu-ray Disc,$27.77,Free,Free
300,Creature from the Black Lagoon DVD Richard Carlson NEW,Brand New,DVD,$9.35,Free,Unknown
301,Dark Shadows: 50th Anniversary Collector’s Edition [New DVD],Brand New,DVD,$15.91,Free,Free
302,SAW 1-8 FILM COLLECTION,Brand New,Unknown,$12.91,Free,Free
303,Gremlins 2: The New Batch DVD James Spencer(DIR) 1990,Pre-Owned,DVD,$5.51,Free,Free
304,An American Werewolf in London DVD Jenny Agutter NEW,Brand New,DVD,$9.99,Free,Unknown
305,"The Vincent Price Collection [New Blu-ray] Boxed Set, Digital Theater System,",Brand New,Blu-ray Disc,$42.96,Free,Free
306,Movies/DVDs Lots To Choose From #2-6 $1.50-$2.00,Pre-Owned,Unknown,$1.50 to $2.00,Unknown,Unknown
307,"The Langoliers (DVD, 2013) - NEW!!",Brand New,DVD,$7.99,Unknown,Unknown
308,Ghost Rider (Widescreen Edition) [DVD] NEW!,Brand New,DVD,$5.99,Free,Unknown
309,Psycho DVD Anthony Perkins NEW,Brand New,DVD,$9.35,Free,Unknown
310,4-Movie Midnight Marathon Psychos DVD  NEW,Brand New,DVD,$9.35,Free,Unknown
311,"Dreamscape (Collector's Edition) [New Blu-ray] Collector's Ed, Widescr",Brand New,Unknown,$17.96,Free,Free
312,Insidious: Chapter 3 [DVD] NEW!,Brand New,DVD,$7.99,Free,Unknown
313,"Sputnik - (NR, DVD, 2021) New DVD, Free Shipping",Brand New,DVD,$21.60,Free,Free
314,SPECIAL ID NEW BLU-RAY,Brand New,Blu-ray Disc,$8.20,Free,Unknown
